Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
ALB,2015,-2.4618599999999997,7.618180000000001,-7.977339999999999,8.88803,-11.6444,6.642,-7.6966,6.88249,-3.5708699999999998,7.618180000000001,-9.08635,8.88803,-12.7534,6.642,-8.8056,6.88249,0.110653,7.61078,-5.4048300000000005,8.881689999999999,-9.07187,6.63352,-5.12408,6.8743,-2.22772,1.36653,1.11871,0.33561399999999997,3.68152,0.33563899999999997,-0.58,0.04,0.1,0.05,0.12
ALB,2016,-3.59018,5.5103599999999995,-9.95989,8.002419999999999,-7.94527,12.1443,-6.01304,5.54704,-4.49624,5.5103599999999995,-10.866,8.002419999999999,-8.851339999999999,12.1443,-6.919110000000001,5.54704,-0.652556,5.5003,-7.02227,7.995489999999999,-5.00765,12.1397,-3.0754200000000003,5.53704,-2.02478,1.7724099999999998,1.11871,0.33561399999999997,3.84369,0.332926,-1.05,0.04,0.1,0.05,0.12
ALB,2017,-1.10061,7.45167,-9.03908,3.93254,-6.68925,10.007,-4.15836,6.694260000000001,-1.9942900000000001,7.45167,-9.93276,3.93254,-7.58293,10.007,-5.05204,6.694260000000001,1.93718,7.440910000000001,-6.00129,3.91212,-3.6514599999999997,9.99903,-1.12056,6.682289999999999,-2.0123900000000003,1.79718,1.11871,0.33561399999999997,3.9314699999999996,0.400217,-0.63,0.04,0.1,0.05,0.12
ALB,2018,-8.26333,6.20027,-5.20331,9.70583,-8.49532,8.00382,-2.87851,4.89171,-8.99772,6.20027,-5.9377,9.70583,-9.22971,8.00382,-3.61291,4.89171,-4.9025099999999995,6.18734,-1.8424900000000002,9.69758,-5.1345,7.993810000000001,0.4823,4.87531,-1.8531099999999998,2.11575,1.11871,0.33561399999999997,4.09521,0.400217,0.37,0.04,0.1,0.05,0.12
ALB,2019,-2.02351,5.1562,-3.4719,9.10326,-6.71667,10.9141,-6.79368,4.74763,-2.95613,5.1562,-4.40452,9.10326,-7.64928,10.9141,-7.7263,4.74763,1.40777,5.14527,-0.0406168,9.09707,-3.2853800000000004,10.909,-3.3624,4.73575,-2.05133,1.71931,1.11871,0.33561399999999997,4.3639,0.33563899999999997,-0.22,0.04,0.1,0.05,0.12
ALB,2020,-1.27082,8.056460000000001,-15.9378,6.13899,-9.84273,9.98725,-5.022930000000001,7.878830000000001,-2.18597,8.056460000000001,-16.853,6.13899,-10.7579,9.98725,-5.93808,7.878830000000001,1.7252299999999998,8.04947,-12.9418,6.1298,-6.84668,9.98161,-2.02688,7.87167,-2.0338700000000003,1.7542400000000002,1.11871,0.33561399999999997,3.9112,0.33563899999999997,-1.87,0.04,0.1,0.05,0.12
ALB,mean,-2.51789,5.492319999999999,-9.1088,6.4768300000000005,-9.663110000000001,5.81607,-5.68058,4.6128,-3.43304,5.1938,-10.024,6.2257,-10.5783,5.53504,-6.595739999999999,4.253,0.538121,5.18154,-6.05279,6.21547,-6.6070899999999995,5.52353,-2.6245700000000003,4.23801,-2.0338700000000003,1.7542400000000002,1.11871,0.33561399999999997,3.97116,0.356713,-1.03,0.04,0.1,0.05,0.12
ARE,2015,-11.2954,11.326,-11.383,11.2965,-11.3546,11.3096,-11.5529,11.3044,0.48008999999999996,11.326,0.392422,11.2965,0.420864,11.3096,0.222525,11.3044,248.225,0.9349790000000001,248.137,0.455294,248.166,0.709842,247.967,0.620807,-0.0460533,0.018351,11.8215,3.54645,247.745,11.2873,-0.17,0.01,-0.06,0.02,-0.02
ARE,2016,-11.6767,10.8138,-11.7785,10.9615,-11.7612,10.8212,-11.7582,10.8183,0.0914779,10.8138,-0.010369499999999999,10.9615,0.00698584,10.8212,0.00995774,10.8183,238.763,0.553968,238.662,1.87667,238.679,0.682908,238.68200000000002,0.635042,-0.0533312,0.00379531,11.8215,3.54645,238.672,10.7996,-0.33,0.01,-0.06,0.02,-0.02
ARE,2017,-11.6431,8.84961,-10.9376,8.943489999999999,-10.9334,8.9431,-11.7439,8.86651,0.106625,8.84961,0.812174,8.943489999999999,0.8163279999999999,8.9431,0.00583688,8.86651,196.628,0.352299,197.333,1.33958,197.33700000000002,1.3369799999999998,196.52700000000002,0.650788,-0.07176510000000001,0.0330726,11.8215,3.54645,196.521,8.8426,0.85,0.01,-0.06,0.02,-0.02
ARE,2018,-11.619,9.0397,-11.3054,9.45523,-11.4255,9.17425,-11.5633,9.17935,0.14338599999999999,9.0397,0.456979,9.45523,0.336828,9.17425,0.19908299999999998,9.17935,198.827,1.87742,199.141,3.3481199999999998,199.02,2.44445,198.88299999999998,2.46351,-0.0591485,0.00783927,11.8215,3.54645,198.68400000000003,8.8426,0.55,0.01,-0.06,0.02,-0.02
ARE,2019,-11.6934,11.3314,-11.5334,11.3645,-11.7367,11.8969,-11.7393,11.4781,0.053435,11.3314,0.213448,11.3645,0.010092499999999999,11.8969,0.00755867,11.4781,200.90200000000002,0.998755,201.062,1.3219,200.858,3.75927,200.856,2.08432,-0.07467410000000001,0.038890499999999995,11.8215,3.54645,200.84799999999998,11.2873,0.61,0.01,-0.06,0.02,-0.02
ARE,2020,-11.6647,11.297,-10.9251,11.3967,-11.3612,11.3595,-11.7006,11.3394,0.0958421,11.297,0.835418,11.3967,0.39931700000000003,11.3595,0.05994680000000001,11.3394,187.27,0.467793,188.00900000000001,1.57556,187.57299999999998,1.27871,187.234,1.08561,-0.0609944,0.020389700000000004,11.8215,3.54645,187.174,11.2873,0.55,0.01,-0.06,0.02,-0.02
ARE,mean,-11.6177,10.9884,-11.748,11.01,-11.3435,11.062,-11.5589,10.9913,0.14284000000000002,10.4004,0.012458799999999999,10.4231,0.416968,10.4781,0.201557,10.4034,211.75,0.438359,211.62,0.8162229999999999,212.024,1.34742,211.80900000000003,0.50472,-0.0609944,0.020389700000000004,11.8215,3.54645,211.607,10.3911,-0.38,0.01,-0.06,0.02,-0.02
ARG,2015,112.04700000000001,242.044,-719.1610000000001,700.9989999999999,-398.645,741.318,47.897,835.2610000000001,-41.1207,242.044,-872.328,700.9989999999999,-551.813,741.318,-105.27,835.2610000000001,156.704,241.266,-674.5039999999999,700.7310000000001,-353.98900000000003,741.064,92.5538,835.0360000000001,-39.0733,2.86555,-114.094,-34.2282,197.824,19.3936,-1.15,0.28,0.7,0.72,0.72
ARG,2016,-210.205,367.245,-1096.46,288.668,-991.8639999999999,396.966,-253.812,545.195,-363.917,367.245,-1250.17,288.668,-1145.58,396.966,-407.524,545.195,-165.69299999999998,366.73699999999997,-1051.95,288.022,-947.352,396.496,-209.3,544.854,-39.6176,3.95405,-114.094,-34.2282,198.22400000000002,19.3036,-1.71,0.28,0.7,0.72,0.72
ARG,2017,-327.038,315.11,-913.552,470.527,-624.5369999999999,582.1990000000001,-595.992,678.966,-479.001,315.11,-1065.51,470.527,-776.5,582.1990000000001,-747.955,678.966,-285.547,314.54,-872.061,470.145,-583.0459999999999,581.891,-554.501,678.702,-37.8692,0.457247,-114.094,-34.2282,193.454,18.9496,-1.51,0.28,0.7,0.72,0.72
